DateKey,Date,Year,Quarter,Month,MonthName,Week,Season
20250101,2025-01-01,2025,Q1,1,January,W01,Winter
20250201,2025-02-01,2025,Q1,2,February,W05,Winter
20250301,2025-03-01,2025,Q1,3,March,W09,Spring
20250401,2025-04-01,2025,Q2,4,April,W14,Spring
20250501,2025-05-01,2025,Q2,5,May,W18,Spring
20250601,2025-06-01,2025,Q2,6,June,W22,Summer
20250701,2025-07-01,2025,Q3,7,July,W27,Summer
20250801,2025-08-01,2025,Q3,8,August,W31,Summer
20250901,2025-09-01,2025,Q3,9,September,W36,Fall
20251001,2025-10-01,2025,Q4,10,October,W40,Fall
20251101,2025-11-01,2025,Q4,11,November,W44,Fall
20251201,2025-12-01,2025,Q4,12,December,W49,Winter
