SourceIntakeID,DateKey,CentreID,IntakeTypeID,AnimalKey,IntakeCount,FosterFlag
SB-000101,20250601,C001,IT01,1,1,1
SB-000102,20250601,C002,IT01,6,1,1
SB-000103,20250701,C001,IT02,3,1,0
SB-000104,20250701,C003,IT01,2,1,1
SB-000105,20250701,C002,IT08,7,1,0
SB-000106,20250801,C001,IT03,4,1,0
SB-000107,20250801,C004,IT01,9,1,1
SB-000108,20250901,C005,IT02,5,1,0
SB-000109,20251001,C003,IT06,8,1,0
SB-000110,20250601,C001,IT01,1,1,1
SB-000111,20251101,C002,IT04,10,1,0
SB-000112,20250101,C004,IT05,3,1,0
SB-000113,20250201,C005,IT01,6,1,1
SB-000114,20250301,C001,IT02,4,1,0
SB-000115,20251201,C003,IT07,9,1,0
SB-000116,20250701,C002,IT01,2,1,1
SB-000117,20250801,C001,IT08,7,1,0
SB-000118,20250601,C005,IT01,1,1,1
