CentreID,CentreName,Region,PostalCode
C001,Mock Centre 01,Region A,V1A 5K4
C002,Mock Centre 02,Region A,V2E 9C7
C003,Mock Centre 03,Region A,V0A 2J4
C004,Mock Centre 04,Region A,V8A 9J9
C005,Mock Centre 05,Region A,V6K 8L1
C006,Mock Centre 06,Region A,V2S 6L3
C007,Mock Centre 07,Region A,V3N 2C7
C008,Mock Centre 08,Region A,V1P 6L1
C009,Mock Centre 09,Region B,V7Y 2R2
C010,Mock Centre 10,Region B,V8M 6J2
C011,Mock Centre 11,Region B,V0K 5C4
C012,Mock Centre 12,Region B,V1R 5T6
C013,Mock Centre 13,Region B,V2P 6J5
C014,Mock Centre 14,Region B,V1H 9K3
C015,Mock Centre 15,Region B,V7R 5Y4
C016,Mock Centre 16,Region C,V5B 4B6
C017,Mock Centre 17,Region C,V6L 2J6
C018,Mock Centre 18,Region C,V3V 7T3
C019,Mock Centre 19,Region C,V4G 4Y9
C020,Mock Centre 20,Region C,V4S 7P4
C021,Mock Centre 21,Region C,V2X 8C1
C022,Mock Centre 22,Region D,V1G 3S2
C023,Mock Centre 23,Region D,V6R 8X5
C024,Mock Centre 24,Region D,V8A 2Y5
C025,Mock Centre 25,Region D,V5E 5S3
C026,Mock Centre 26,Region D,V7A 5X3
C027,Mock Centre 27,Region D,V8E 5X4
C028,Mock Centre 28,Region E,V2P 3Y9
C029,Mock Centre 29,Region E,V0N 8A2
C030,Mock Centre 30,Region E,V5M 4B4
C031,Mock Centre 31,Region E,V9C 2V2
C032,Mock Centre 32,Region E,V8G 3V9
