DateKey,Date,Year,Quarter,Month,MonthName,MonthShortName,YearMonth,Week,Season
20250101,2025-01-01,2025,Q1,1,January,Jan,2025-01,W01,Winter
20250102,2025-01-02,2025,Q1,1,January,Jan,2025-01,W01,Winter
20250103,2025-01-03,2025,Q1,1,January,Jan,2025-01,W01,Winter
20250104,2025-01-04,2025,Q1,1,January,Jan,2025-01,W01,Winter
20250105,2025-01-05,2025,Q1,1,January,Jan,2025-01,W01,Winter
20250106,2025-01-06,2025,Q1,1,January,Jan,2025-01,W02,Winter
20250107,2025-01-07,2025,Q1,1,January,Jan,2025-01,W02,Winter
20250108,2025-01-08,2025,Q1,1,January,Jan,2025-01,W02,Winter
20250109,2025-01-09,2025,Q1,1,January,Jan,2025-01,W02,Winter
20250110,2025-01-10,2025,Q1,1,January,Jan,2025-01,W02,Winter
20250111,2025-01-11,2025,Q1,1,January,Jan,2025-01,W02,Winter
20250112,2025-01-12,2025,Q1,1,January,Jan,2025-01,W02,Winter
20250113,2025-01-13,2025,Q1,1,January,Jan,2025-01,W03,Winter
20250114,2025-01-14,2025,Q1,1,January,Jan,2025-01,W03,Winter
20250115,2025-01-15,2025,Q1,1,January,Jan,2025-01,W03,Winter
20250116,2025-01-16,2025,Q1,1,January,Jan,2025-01,W03,Winter
20250117,2025-01-17,2025,Q1,1,January,Jan,2025-01,W03,Winter
20250118,2025-01-18,2025,Q1,1,January,Jan,2025-01,W03,Winter
20250119,2025-01-19,2025,Q1,1,January,Jan,2025-01,W03,Winter
20250120,2025-01-20,2025,Q1,1,January,Jan,2025-01,W04,Winter
20250121,2025-01-21,2025,Q1,1,January,Jan,2025-01,W04,Winter
20250122,2025-01-22,2025,Q1,1,January,Jan,2025-01,W04,Winter
20250123,2025-01-23,2025,Q1,1,January,Jan,2025-01,W04,Winter
20250124,2025-01-24,2025,Q1,1,January,Jan,2025-01,W04,Winter
20250125,2025-01-25,2025,Q1,1,January,Jan,2025-01,W04,Winter
20250126,2025-01-26,2025,Q1,1,January,Jan,2025-01,W04,Winter
20250127,2025-01-27,2025,Q1,1,January,Jan,2025-01,W05,Winter
20250128,2025-01-28,2025,Q1,1,January,Jan,2025-01,W05,Winter
20250129,2025-01-29,2025,Q1,1,January,Jan,2025-01,W05,Winter
20250130,2025-01-30,2025,Q1,1,January,Jan,2025-01,W05,Winter
20250131,2025-01-31,2025,Q1,1,January,Jan,2025-01,W05,Winter
20250201,2025-02-01,2025,Q1,2,February,Feb,2025-02,W05,Winter
20250202,2025-02-02,2025,Q1,2,February,Feb,2025-02,W05,Winter
20250203,2025-02-03,2025,Q1,2,February,Feb,2025-02,W06,Winter
20250204,2025-02-04,2025,Q1,2,February,Feb,2025-02,W06,Winter
20250205,2025-02-05,2025,Q1,2,February,Feb,2025-02,W06,Winter
20250206,2025-02-06,2025,Q1,2,February,Feb,2025-02,W06,Winter
20250207,2025-02-07,2025,Q1,2,February,Feb,2025-02,W06,Winter
20250208,2025-02-08,2025,Q1,2,February,Feb,2025-02,W06,Winter
20250209,2025-02-09,2025,Q1,2,February,Feb,2025-02,W06,Winter
20250210,2025-02-10,2025,Q1,2,February,Feb,2025-02,W07,Winter
20250211,2025-02-11,2025,Q1,2,February,Feb,2025-02,W07,Winter
20250212,2025-02-12,2025,Q1,2,February,Feb,2025-02,W07,Winter
20250213,2025-02-13,2025,Q1,2,February,Feb,2025-02,W07,Winter
20250214,2025-02-14,2025,Q1,2,February,Feb,2025-02,W07,Winter
20250215,2025-02-15,2025,Q1,2,February,Feb,2025-02,W07,Winter
20250216,2025-02-16,2025,Q1,2,February,Feb,2025-02,W07,Winter
20250217,2025-02-17,2025,Q1,2,February,Feb,2025-02,W08,Winter
20250218,2025-02-18,2025,Q1,2,February,Feb,2025-02,W08,Winter
20250219,2025-02-19,2025,Q1,2,February,Feb,2025-02,W08,Winter
20250220,2025-02-20,2025,Q1,2,February,Feb,2025-02,W08,Winter
20250221,2025-02-21,2025,Q1,2,February,Feb,2025-02,W08,Winter
