SourceIntakeID,DateKey,CentreID,IntakeTypeID,AnimalKey,IntakeCount,FosterFlag
SB-100001,20240505,C007,IT05,1,1,0
SB-100002,20250603,C004,IT19,23,1,0
SB-100003,20240114,C002,IT27,37,1,1
SB-100004,20250811,C014,IT03,6,1,1
SB-100005,20250906,C024,IT25,36,1,1
SB-100006,20240712,C002,IT21,36,1,1
SB-100007,20250525,C003,IT31,35,1,0
SB-100008,20250803,C027,IT01,30,1,0
SB-100009,20250928,C024,IT26,33,1,1
SB-100010,20250726,C002,IT26,35,1,1
SB-100011,20250805,C009,IT06,32,1,1
SB-100012,20240203,C003,IT06,35,1,0
SB-100013,20240723,C017,IT08,40,1,0
SB-100014,20251007,C002,IT33,8,1,0
SB-100015,20240718,C002,IT08,30,1,0
SB-100016,20250515,C011,IT07,24,1,1
SB-100017,20250628,C001,IT31,22,1,1
SB-100018,20250710,C018,IT07,3,1,1
SB-100019,20240810,C005,IT24,29,1,0
SB-100020,20240802,C006,IT08,12,1,1
SB-100021,20240920,C030,IT15,37,1,1
SB-100022,20240730,C013,IT01,12,1,0
SB-100023,20250422,C017,IT09,18,1,1
SB-100024,20241123,C028,IT22,7,1,1
SB-100025,20250122,C016,IT06,33,1,0
SB-100026,20250616,C004,IT04,1,1,1
SB-100027,20241126,C026,IT02,17,1,0
SB-100028,20240623,C019,IT10,10,1,0
SB-100029,20240108,C022,IT21,5,1,0
SB-100030,20240617,C031,IT10,3,1,1
SB-100031,20250816,C009,IT22,27,1,0
SB-100032,20250507,C030,IT28,25,1,0
SB-100033,20250107,C025,IT11,36,1,1
SB-100034,20241125,C004,IT05,26,1,0
SB-100035,20250130,C016,IT05,4,1,1
SB-100036,20240720,C005,IT11,6,1,1
SB-100037,20250623,C020,IT02,17,1,0
SB-100038,20240917,C004,IT08,37,1,1
SB-100039,20250624,C026,IT21,16,1,1
SB-100040,20240817,C022,IT25,39,1,0
SB-100041,20250712,C013,IT12,9,1,1
SB-100042,20241002,C001,IT06,28,1,0
SB-100043,20240613,C009,IT03,25,1,1
SB-100044,20240902,C013,IT01,26,1,1
SB-100045,20241107,C001,IT07,9,1,0
SB-100046,20250717,C006,IT20,34,1,1
SB-100047,20240425,C001,IT11,40,1,1
SB-100048,20250608,C023,IT14,31,1,0
SB-100049,20240625,C001,IT03,6,1,0
SB-100050,20250331,C004,IT16,31,1,1
