PlacementId,AnimalId,ShelterLocationName,StartDateKey,EndDateKey,DurationDays,IsCurrent
1,1015,Foster - Cats,20250203,20250224,21,0
2,1018,Foster - Nursing Kitten,20260612,20260907,87,0
3,1070,Foster - Dogs,20250409,20250417,8,0
4,1012,Foster - Shelter Care,20250606,20250611,5,0
5,1026,Foster - Nursing Kitten,20260603,20260729,56,0
6,1029,Foster - Cats,20251018,20251025,7,0
7,1021,Foster - Cats,20260526,20260611,16,0
8,1028,Foster - Cats,20261022,20261103,12,0
9,1049,Foster - Nursing Mom,20250413,20250620,68,0
10,1034,Foster - Nursing Kitten,20260713,20260915,64,0
11,1016,Foster - Dogs,20261112,20261224,42,0
12,1038,Foster - S / N,20260723,20260731,8,0
13,1025,Foster,20260529,20260619,21,0
14,1038,Foster - Nursing Mom,20261128,,,1
15,1036,Foster - Nursing Mom,20251024,20251203,40,0
16,1048,Foster - Nursing Kitten,20250806,20251019,74,0
17,1010,Foster,20260416,20260608,53,0
18,1032,Foster - Dogs,20250513,20250629,47,0
19,1029,Foster - Nursing Mom,20260520,20260807,79,0
20,1008,Foster,20250611,20250708,27,0
21,1052,Foster,20250628,20250810,43,0
22,1041,Foster - Dogs,20250604,20250722,48,0
23,1059,Foster,20250504,20250627,54,0
24,1069,Foster - Shelter Care,20250626,20250713,17,0
25,1047,In Foster,20250607,20250716,39,0
26,1064,Foster,20250411,20250425,14,0
27,1020,Foster - Nursing Mom,20260425,20260621,57,0
28,1009,Foster - S / N,20250819,20250829,10,0
29,1068,Foster - Shelter Care,20250621,20250626,5,0
30,1015,Foster - Shelter Care,20260519,20260601,13,0
31,1044,Foster - Dogs,20250420,20250526,36,0
32,1001,Foster Farm/Equine,20261017,20261109,23,0
33,1065,Foster - Shelter Care,20260623,20260701,8,0
34,1039,Foster - Shelter Care,20260728,20260808,11,0
35,1020,Foster,20250814,20251009,56,0
36,1068,Foster - S / N,20260831,20260910,10,0
37,1003,Foster - Cats,20250420,20250619,60,0
38,1040,Foster - Cats,20250615,20250728,43,0
39,1011,Foster - Dogs,20250408,20250419,11,0
40,1069,Foster,20260625,20260801,37,0
41,1022,Foster Farm/Equine,20250627,20250731,34,0
42,1028,Foster - Nursing Kitten,20260914,20261127,74,0
43,1026,Foster - Dogs,20260601,20260720,49,0
44,1048,Foster - Shelter Care,20251003,20251011,8,0
45,1032,Foster - Cats,20250609,20250723,44,0
46,1030,Foster,20260407,20260529,52,0
47,1008,In Foster,20250611,20250709,28,0
48,1010,Foster - Cats,20260112,20260219,38,0
49,1028,Foster - Nursing Kitten,20260215,20260512,86,0
50,1061,Foster - Dogs,20250617,20250720,33,0
51,1025,Foster - S / N,20250412,20250420,8,0
52,1055,Foster Farm/Equine,20250830,20250909,10,0
53,1013,Foster - Nursing Kitten,20250322,20250611,81,0
54,1014,Foster,20250620,20250725,35,0
55,1018,Foster - Cats,20250912,20251004,22,0
56,1010,Foster - Nursing Mom,20251010,20251214,65,0
57,1013,In Foster,20250309,20250508,60,0
58,1002,In Foster,20261106,20261128,22,0
59,1022,Foster - Dogs,20250828,20250929,32,0
60,1008,Foster,20250513,20250613,31,0
61,1034,Foster - Nursing Mom,20260911,20261029,48,0
62,1055,Foster - Nursing Kitten,20260525,20260813,80,0
63,1063,Foster - Cats,20250509,20250519,10,0
64,1070,Foster - Cats,20250322,20250401,10,0
65,1062,Foster - Nursing Mom,20251228,20260206,40,0
66,1008,Foster,20261026,20261113,18,0
67,1009,Foster - Nursing Kitten,20260410,20260525,45,0
68,1052,In Foster,20250424,20250516,22,0
69,1006,Foster - Dogs,20260421,20260604,44,0
70,1067,Foster - Cats,20250720,20250907,49,0
71,1041,Foster - Dogs,20250615,20250803,49,0
72,1039,In Foster,20251029,20251109,11,0
73,1002,In Foster,20251030,20251112,13,0
74,1010,Foster - Shelter Care,20260212,20260221,9,0
75,1045,Foster Farm/Equine,20260815,20260914,30,0
76,1037,Foster - Nursing Mom,20250510,20250724,75,0
77,1039,In Foster,20260418,20260605,48,0
78,1068,Foster - Nursing Mom,20250111,20250301,49,0
79,1014,Foster,20260927,20261011,14,0
80,1014,Foster,20260614,20260709,25,0
81,1027,Foster,20260603,20260720,47,0
82,1034,Foster - Cats,20260101,20260111,10,0
83,1012,Foster - Nursing Mom,20260428,20260530,32,0
84,1001,Foster,20250727,20250819,23,0
85,1021,Foster - Shelter Care,20260614,20260702,18,0
86,1002,In Foster,20250420,20250610,51,0
87,1020,Foster - Nursing Mom,20260223,20260501,67,0
88,1019,Foster,20250922,20251022,30,0
89,1006,Foster,20260823,20260914,22,0
90,1014,Foster - Shelter Care,20250805,20250823,18,0
91,1020,Foster - Cats,20260910,20260927,17,0
92,1023,Foster,20260815,20261008,54,0
93,1043,Foster - Dogs,20260702,20260820,49,0
94,1032,Foster - Nursing Mom,20250628,20250803,36,0
95,1049,Foster - Nursing Mom,20260811,20260924,44,0
96,1026,Foster - Dogs,20260717,20260812,26,0
97,1030,Foster - Nursing Kitten,20250608,20250802,55,0
98,1043,Foster,20250703,20250828,56,0
99,1036,Foster - Shelter Care,20250804,20250819,15,0
100,1004,In Foster,20250422,20250510,18,0
