Year-Month,Fostered Animals
2006-01,304
2006-02,443
2006-03,654
2006-04,1042
2006-05,1378
2006-06,1859
2006-07,2117
2006-08,2388
2006-09,2646
2006-10,2813
2006-11,2934
2006-12,2968
2007-01,2956
2007-02,3050
2007-03,3226
2007-04,3526
2007-05,3937
2007-06,4233
2007-07,4503
2007-08,4977
2007-09,5086
2007-10,5333
2007-11,5457
2007-12,5513
2008-01,5524
2008-02,5562
2008-03,5785
2008-04,6064
2008-05,6504
2008-06,6935
2008-07,7244
2008-08,7566
2008-09,7952
2008-10,8327
2008-11,8536
2008-12,8655
2009-01,8732
2009-02,8782
2009-03,9136
2009-04,9487
2009-05,10044
2009-06,10285
2009-07,10357
2009-08,10367
2009-09,10437
2009-10,10560
2009-11,10384
2009-12,10158
2010-01,9950
2010-02,9609
2010-03,9633
2010-04,9625
2010-05,9734
2010-06,9937
2010-07,10129
2010-08,10118
2010-09,10269
2010-10,10323
2010-11,10041
2010-12,9812
2011-01,9612
2011-02,9284
2011-03,9398
2011-04,9457
2011-05,9799
2011-06,10069
2011-07,10276
2011-08,10278
2011-09,10176
2011-10,10245
2011-11,10066
2011-12,9807
2012-01,9424
2012-02,9122
2012-03,9125
2012-04,9208
2012-05,9568
2012-06,9911
2012-07,9922
2012-08,9788
2012-09,9818
2012-10,10006
2012-11,9899
2012-12,9496
2013-01,9208
2013-02,8951
2013-03,8999
2013-04,9152
2013-05,9467
2013-06,9654
2013-07,9712
2013-08,9712
2013-09,9735
2013-10,9706
2013-11,9588
2013-12,9325
2014-01,9166
2014-02,8975
2014-03,9040
2014-04,9177
2014-05,9526
2014-06,9840
2014-07,9895
2014-08,9826
2014-09,9879
2014-10,9859
2014-11,9646
2014-12,9320
2015-01,9079
2015-02,8876
2015-03,8945
2015-04,9262
2015-05,9624
2015-06,9764
2015-07,9833
2015-08,9767
2015-09,9852
2015-10,9815
2015-11,9566
2015-12,9290
2016-01,9067
2016-02,8979
2016-03,9147
2016-04,9451
2016-05,9814
2016-06,9960
2016-07,9975
2016-08,9856
2016-09,9921
2016-10,9907
2016-11,9754
2016-12,9450
2017-01,9188
2017-02,9005
2017-03,8975
2017-04,9207
2017-05,9658
2017-06,10021
2017-07,9937
2017-08,9842
2017-09,9778
2017-10,9706
2017-11,9462
2017-12,9312
2018-01,9143
2018-02,8903
2018-03,8898
2018-04,9135
2018-05,9437
2018-06,9653
2018-07,9757
2018-08,9832
2018-09,9799
2018-10,9668
2018-11,9451
2018-12,9166
2019-01,8962
2019-02,8908
2019-03,8955
2019-04,9184
2019-05,9658
2019-06,9825
2019-07,9782
2019-08,9701
2019-09,9655
2019-10,9596
2019-11,9390
2019-12,9128
2020-01,9000
2020-02,8847
2020-03,8947
2020-04,8935
2020-05,9134
2020-06,9362
2020-07,9508
2020-08,9425
2020-09,9393
2020-10,9496
2020-11,9612
2020-12,9364
2021-01,8971
2021-02,8882
2021-03,9003
2021-04,9186
2021-05,9258
2021-06,9330
2021-07,9385
2021-08,9285
2021-09,9277
2021-10,9360
2021-11,9384
2021-12,9339
2022-01,9355
2022-02,9330
2022-03,9389
2022-04,9426
2022-05,9534
2022-06,9774
2022-07,9609
2022-08,9473
2022-09,9491
2022-10,9608
2022-11,9382
2022-12,9235
2023-01,9226
2023-02,9112
2023-03,9101
2023-04,9248
2023-05,9396
2023-06,9566
2023-07,9528
2023-08,9636
2023-09,9638
2023-10,9552
2023-11,9377
2023-12,9313
2024-01,9151
2024-02,9027
2024-03,9099
2024-04,9284
2024-05,9347
2024-06,9471
2024-07,9499
2024-08,9417
2024-09,9408
2024-10,9292
2024-11,9190
2024-12,9080
2025-01,8980
2025-02,8879
2025-03,8974
2025-04,9017
2025-05,9308
2025-06,9414
2025-07,9401
2025-08,9362
2025-09,9383
2025-10,9420
2025-11,9271
2025-12,9205
2026-01,9032
2026-02,8887
2026-03,8932
2026-04,9069
2026-05,9219
2026-06,9299
2026-07,9407
2026-08,9358
